total_shots,num_flagged,num_discarded,num_incorrect
1000000,194320,6,0
1000000,194348,4,0
1000000,193901,8,0
1000000,194535,9,0
1000000,194642,4,0
1000000,194846,6,0
1000000,194308,5,0
1000000,194199,2,0
1000000,193713,8,0
1000000,194726,2,0
1000000,194180,5,0
1000000,193753,4,0
1000000,194468,7,0
1000000,194412,4,0
1000000,194225,9,0
1000000,193852,5,0
1000000,194432,5,0
1000000,193866,3,0
1000000,193473,6,0
1000000,194520,6,0
1000000,194431,6,1
1000000,194427,3,0
1000000,194716,6,0
1000000,194223,8,0
1000000,194341,6,0
1000000,193953,6,0
1000000,193834,3,0
1000000,193531,8,0
1000000,193857,6,0
1000000,193246,10,0
1000000,194265,8,0
1000000,193999,3,0
1000000,194206,6,0
1000000,193877,8,0
1000000,194332,7,0
1000000,194398,3,0
1000000,194606,9,0
1000000,194124,4,0
1000000,194172,0,0
1000000,194092,7,0
1000000,193842,11,0
1000000,193956,7,0
1000000,194568,4,0
1000000,194431,2,0
1000000,194347,7,0
1000000,193627,1,0
1000000,193684,6,0
1000000,193728,7,0
1000000,194528,4,0
1000000,194216,9,0
1000000,193956,2,0
1000000,193713,9,1
1000000,194063,4,0
1000000,193999,12,0
1000000,194012,2,0
1000000,193967,9,0
1000000,193923,3,0
1000000,194053,6,0
1000000,193571,4,0
1000000,194033,8,0
1000000,194188,5,0
1000000,194342,4,0
1000000,194546,7,0
1000000,193365,6,0
1000000,195144,2,1
1000000,193799,4,0
1000000,193853,10,0
1000000,194321,9,0
1000000,193979,7,0
1000000,194321,2,0
1000000,193331,12,0
1000000,194154,10,0
1000000,193432,8,0
1000000,194298,7,0
1000000,194506,4,0
1000000,194758,8,0
1000000,194912,3,0
1000000,193864,6,0
1000000,194205,9,0
1000000,193594,10,0
1000000,194154,6,0
1000000,193726,9,0
1000000,193624,5,0
1000000,194248,4,0
1000000,194113,9,0
1000000,193974,9,0
1000000,194270,4,0
1000000,194234,7,0
1000000,194306,4,0
1000000,194030,10,0
1000000,194318,6,0
1000000,193884,7,0
1000000,193864,5,0
1000000,194647,5,0
1000000,193787,5,0
1000000,194223,4,0
1000000,194061,9,0
1000000,193984,6,0
1000000,194559,5,0
1000000,193570,6,0
1000000,195010,5,0
1000000,194275,3,0
1000000,193887,4,0
1000000,193869,4,0
1000000,194267,5,0
1000000,193758,5,0
1000000,194427,8,0
1000000,194907,4,0
1000000,194103,3,0
1000000,193416,10,1
1000000,194433,5,0
1000000,193343,9,0
1000000,193665,9,0
1000000,194679,6,0
1000000,194301,5,0
1000000,193697,5,0
1000000,194533,11,0
1000000,193862,2,0
1000000,193371,3,0
1000000,194030,11,0
1000000,193928,4,0
1000000,194257,7,0
1000000,194216,6,0
1000000,193665,5,0
1000000,194849,9,0
1000000,194378,4,0
1000000,193775,6,0
1000000,194957,3,0
1000000,193709,6,0
1000000,194566,5,0
1000000,194383,10,0
1000000,194422,7,0
1000000,193777,7,0
1000000,194089,7,0
1000000,193319,6,0
1000000,194756,5,0
1000000,193876,4,0
1000000,194302,5,0
1000000,194219,5,0
1000000,193937,5,0
1000000,193944,8,0
1000000,194637,3,0
1000000,193052,6,0
1000000,194410,2,1
1000000,194519,5,0
1000000,194367,6,0
1000000,194667,8,0
1000000,193658,6,0
1000000,193654,8,0
1000000,193958,6,0
1000000,194518,12,0
1000000,194565,6,0
1000000,194480,7,0
1000000,193861,7,0
1000000,194310,4,0
1000000,193567,6,0
1000000,193673,2,0
1000000,193503,6,0
1000000,193678,4,0
1000000,194253,5,0
1000000,194619,6,0
1000000,193918,8,0
1000000,193668,10,0
1000000,194016,8,0
1000000,194160,3,0
1000000,194126,10,0
1000000,194450,4,0
1000000,193249,9,0
1000000,194013,6,0
1000000,193692,5,0
1000000,194547,1,0
1000000,194871,8,0
1000000,194849,6,0
1000000,193766,1,0
1000000,194491,7,0
1000000,193928,6,0
1000000,194149,4,0
1000000,194365,6,0
1000000,194378,3,1
1000000,194003,5,0
1000000,194254,2,0
1000000,194368,6,0
1000000,194054,7,0
1000000,193821,5,0
1000000,194840,6,0
1000000,194389,4,0
1000000,194261,2,0
1000000,194165,5,0
1000000,195050,10,0
1000000,194152,6,0
1000000,194524,12,0
1000000,193910,8,0
1000000,193887,7,0
1000000,193968,10,0
1000000,192933,7,0
1000000,194017,6,0
1000000,194828,3,0
1000000,194113,4,0
1000000,194292,7,0
1000000,193994,6,0
1000000,193930,5,0
1000000,194191,6,0
1000000,194555,10,0
1000000,193782,2,0
1000000,193725,3,1
1000000,194193,7,0
1000000,194557,10,0
1000000,194524,4,0
1000000,194581,5,0
1000000,194475,3,0
1000000,194133,5,0
1000000,194694,4,0
1000000,194244,5,1
1000000,194611,6,0
1000000,193996,4,0
1000000,193604,3,0
1000000,194127,7,0
1000000,194085,5,0
1000000,194108,12,0
1000000,194015,7,0
1000000,193678,7,0
1000000,193996,7,0
1000000,194024,8,0
1000000,194280,6,0
1000000,193705,5,0
1000000,194141,3,0
1000000,193830,10,0
1000000,194760,7,0
1000000,194311,5,0
1000000,194066,6,0
1000000,193730,6,0
1000000,193241,6,0
1000000,194114,3,0
1000000,194257,6,0
1000000,194770,6,0
1000000,193926,3,0
1000000,193370,6,0
1000000,193741,7,0
1000000,193915,5,0
1000000,193901,3,0
1000000,194015,7,0
1000000,194240,4,0
1000000,194479,13,0
1000000,194509,4,0
1000000,194489,5,0
1000000,194166,3,0
1000000,193892,5,0
1000000,194561,6,0
1000000,193776,5,0
1000000,194079,6,0
