total_shots,num_flagged,num_discarded,num_incorrect
1000000,196181,4,0
1000000,195800,2,0
1000000,195981,8,0
1000000,196417,8,0
1000000,195954,3,0
1000000,195449,3,0
1000000,195990,5,0
1000000,195769,3,0
1000000,196555,2,0
1000000,195504,6,0
1000000,196291,4,0
1000000,195757,6,0
1000000,195836,5,0
1000000,195512,6,0
1000000,196274,4,0
1000000,196336,4,0
1000000,196158,8,0
1000000,195781,7,0
1000000,195375,4,0
1000000,196098,0,0
1000000,195816,6,0
1000000,195976,6,0
1000000,196289,3,0
1000000,195357,5,0
1000000,196490,4,0
1000000,196483,3,0
1000000,197013,3,0
1000000,196522,5,0
1000000,196257,3,0
1000000,196632,5,0
1000000,195591,6,0
1000000,196167,3,0
1000000,196382,5,0
1000000,196049,0,0
1000000,195622,4,0
1000000,196728,5,0
1000000,196158,4,0
1000000,196469,2,0
1000000,195804,4,0
1000000,196403,3,0
1000000,196348,7,0
1000000,197389,5,0
1000000,195482,8,0
1000000,196357,3,0
1000000,196066,4,0
1000000,195985,5,0
1000000,196434,4,0
1000000,196413,8,0
1000000,196211,3,0
1000000,196308,9,0
1000000,196097,8,0
1000000,195700,4,0
1000000,196304,4,0
1000000,195949,4,0
1000000,195744,5,0
1000000,196500,4,0
1000000,195983,3,0
1000000,195959,5,0
1000000,196239,3,0
1000000,195687,8,0
1000000,195754,4,0
1000000,195885,2,0
1000000,197292,5,0
1000000,196490,10,0
1000000,196588,2,0
1000000,196219,6,0
1000000,196452,3,0
1000000,196308,6,0
1000000,195332,4,0
1000000,195623,5,0
1000000,195886,5,0
1000000,196244,4,0
1000000,195937,4,0
1000000,195806,4,0
1000000,196587,6,0
1000000,195540,3,0
1000000,195649,3,0
1000000,196261,6,0
1000000,196213,3,0
1000000,195910,8,0
1000000,196232,3,0
1000000,196286,2,0
1000000,195772,6,0
1000000,196368,4,0
1000000,196236,2,0
1000000,195376,3,0
1000000,196138,8,0
1000000,196234,5,0
1000000,196292,3,0
1000000,196426,3,0
1000000,196528,0,0
1000000,195757,9,0
1000000,196188,4,0
1000000,195836,4,0
1000000,195358,3,0
1000000,195765,3,0
1000000,196921,4,0
1000000,196074,4,0
1000000,196233,5,0
1000000,195894,5,0
1000000,195767,5,0
1000000,196241,5,0
1000000,195671,1,0
1000000,196777,6,0
1000000,196270,4,0
1000000,196264,7,0
1000000,196270,3,0
1000000,195813,5,0
1000000,196516,2,0
1000000,196088,5,0
1000000,196387,7,0
1000000,196093,5,0
1000000,195741,6,0
1000000,195273,6,0
1000000,196401,4,0
1000000,196002,4,0
1000000,196117,5,0
1000000,196055,1,0
1000000,195912,3,0
1000000,196502,3,0
1000000,196567,8,0
1000000,195618,1,0
1000000,194584,4,0
1000000,196842,5,0
1000000,195855,3,0
1000000,197051,3,0
1000000,196383,4,0
1000000,196378,4,0
1000000,196412,7,0
1000000,196758,4,1
1000000,196528,6,0
1000000,196842,3,0
1000000,195946,1,0
1000000,196451,3,0
1000000,195959,6,0
1000000,196637,1,0
1000000,195592,3,0
1000000,196628,1,0
1000000,196181,7,0
1000000,196206,6,0
1000000,196929,4,0
1000000,195901,4,0
1000000,196530,3,0
1000000,196151,6,0
1000000,196190,4,0
1000000,196443,6,0
1000000,195907,4,0
1000000,196225,4,0
1000000,195738,3,0
1000000,195734,2,0
1000000,196111,3,0
1000000,196667,4,0
1000000,195989,3,0
1000000,196108,2,0
1000000,196264,4,0
1000000,195651,6,0
1000000,195707,0,0
1000000,196031,7,0
1000000,196379,4,0
1000000,196496,2,0
1000000,196772,2,0
1000000,196314,5,0
1000000,196495,4,0
1000000,196204,8,0
1000000,196622,4,0
1000000,196578,4,0
1000000,196212,3,0
1000000,195821,1,0
1000000,196209,5,0
1000000,196290,3,0
1000000,196356,3,0
1000000,196163,1,0
1000000,196113,6,0
1000000,195993,1,0
1000000,196325,4,0
1000000,196579,9,0
1000000,196418,1,0
1000000,195458,13,0
1000000,197148,3,0
1000000,196244,3,0
1000000,196035,3,1
1000000,196171,7,0
1000000,196509,5,0
1000000,195799,3,0
1000000,196410,4,0
1000000,195477,8,0
1000000,195835,3,0
1000000,195927,2,0
1000000,196108,3,0
1000000,195764,1,0
1000000,195565,5,0
1000000,195961,2,0
1000000,196437,3,0
1000000,196357,6,0
1000000,195843,6,0
1000000,196009,4,0
1000000,196552,8,0
1000000,196104,1,0
1000000,196536,5,0
1000000,196216,5,0
1000000,196504,4,0
1000000,196001,3,0
1000000,195583,9,0
1000000,196389,4,0
1000000,196165,6,0
1000000,195967,2,1
1000000,196085,7,0
1000000,196493,4,0
1000000,196252,5,0
1000000,196744,2,0
1000000,196293,5,0
1000000,195792,4,0
1000000,196653,3,0
1000000,196188,8,0
1000000,196317,3,0
1000000,195811,11,0
1000000,196731,3,0
1000000,194969,3,0
1000000,196164,2,0
1000000,196482,6,0
1000000,196035,3,0
1000000,196390,5,0
1000000,196279,8,0
1000000,196075,5,0
1000000,196902,4,0
1000000,195983,6,0
1000000,195913,5,0
1000000,196022,7,0
1000000,195757,5,0
1000000,196636,3,0
1000000,196554,5,0
1000000,195923,3,0
1000000,195949,3,0
1000000,196401,8,1
1000000,195833,4,0
1000000,196351,5,0
1000000,196170,5,0
1000000,196578,1,0
1000000,196408,4,0
1000000,196188,5,0
1000000,196028,3,0
1000000,196366,3,1
1000000,196321,6,0
1000000,196328,3,0
1000000,196245,2,0
1000000,195700,5,0
1000000,196835,3,0
1000000,196058,2,0
1000000,196136,2,0
1000000,196604,3,0
1000000,196135,6,0
1000000,196333,3,0
1000000,195948,9,0
1000000,196091,6,0
1000000,196061,4,0
1000000,195878,5,0
1000000,196132,3,0
1000000,196062,5,0
1000000,195530,4,0
1000000,196091,7,0
1000000,195900,5,0
1000000,195450,4,0
1000000,196349,4,0
1000000,196111,5,0
1000000,196657,3,0
1000000,196647,5,0
1000000,196917,7,0
1000000,195979,6,0
1000000,195448,3,0
1000000,195783,4,0
1000000,196525,9,0
1000000,195934,4,0
1000000,196055,5,0
1000000,196540,5,0
1000000,195373,3,0
1000000,196173,2,0
1000000,195392,5,0
1000000,196252,5,0
1000000,196676,4,0
1000000,195664,7,0
1000000,195902,3,0
1000000,195826,3,0
1000000,196387,4,0
1000000,196599,1,0
1000000,196132,3,0
1000000,196357,3,0
1000000,196121,7,0
1000000,196007,6,0
1000000,195602,4,0
1000000,196910,8,0
1000000,195410,7,0
1000000,195849,3,0
1000000,195752,8,1
1000000,195665,3,0
1000000,196826,4,0
1000000,196577,6,0
1000000,195773,7,0
