total_shots,num_flagged,num_discarded,num_incorrect
1000000,192974,5,0
1000000,193085,5,0
1000000,192647,11,1
1000000,192774,5,0
1000000,192840,7,0
1000000,193782,8,0
1000000,192862,8,0
1000000,192971,6,0
1000000,192945,8,0
1000000,192616,0,0
1000000,193265,4,0
1000000,192470,8,0
1000000,192950,6,0
1000000,193197,4,0
1000000,192766,9,0
1000000,193405,10,0
1000000,192926,6,0
1000000,192955,2,0
1000000,192995,8,0
1000000,193719,4,0
1000000,193222,10,0
1000000,193383,5,0
1000000,192731,7,0
1000000,192581,6,0
1000000,192499,4,0
1000000,192698,6,0
1000000,193000,5,0
1000000,193221,9,0
1000000,193657,3,0
1000000,192775,4,0
1000000,193289,5,0
1000000,194291,3,0
1000000,193050,9,0
1000000,192885,9,0
1000000,193170,8,0
1000000,192434,7,0
1000000,193267,6,0
1000000,192922,3,0
1000000,192918,5,0
1000000,193772,5,0
1000000,193732,4,0
1000000,192865,7,0
1000000,192951,6,0
1000000,193039,5,0
1000000,193664,2,0
1000000,193019,5,1
1000000,192619,6,0
1000000,192493,3,0
1000000,193425,6,0
1000000,193309,4,1
1000000,192615,2,0
1000000,192433,4,0
1000000,192711,5,0
1000000,192956,3,1
1000000,193051,9,0
1000000,193267,5,0
1000000,192733,10,0
1000000,193587,9,0
1000000,193423,7,0
1000000,192641,4,0
1000000,193558,7,0
1000000,193209,4,0
1000000,192551,5,0
1000000,193173,8,0
1000000,193040,4,0
1000000,192726,6,0
1000000,193486,4,0
1000000,193155,7,1
1000000,194022,4,0
1000000,193115,4,0
1000000,192668,8,0
1000000,192866,7,0
1000000,192645,6,0
1000000,192527,5,0
1000000,193152,2,0
1000000,193168,6,0
1000000,192629,3,0
1000000,192309,10,0
1000000,193643,2,0
1000000,192840,1,0
1000000,193594,4,0
1000000,193576,2,0
1000000,193041,2,0
1000000,193219,5,0
1000000,193379,7,0
1000000,192993,5,0
1000000,192915,5,0
1000000,193461,6,0
1000000,192491,3,0
1000000,192691,5,0
1000000,193632,6,0
1000000,192900,3,0
1000000,194012,5,0
1000000,193914,6,0
1000000,193847,6,0
1000000,193673,8,0
1000000,193495,4,0
1000000,193533,8,0
1000000,193117,2,0
1000000,193655,7,0
1000000,192766,5,0
1000000,193291,4,0
1000000,193444,2,0
1000000,193102,1,0
1000000,193439,5,0
1000000,192114,3,0
1000000,192881,4,0
1000000,192908,5,0
1000000,192155,6,0
1000000,193480,9,0
1000000,193955,2,0
1000000,193111,1,0
1000000,193049,7,0
1000000,192520,7,0
1000000,192982,5,0
1000000,192867,4,0
1000000,194110,3,0
1000000,193148,7,0
1000000,193484,2,0
1000000,193083,7,0
1000000,192543,7,0
1000000,192905,3,0
1000000,192775,4,0
1000000,192960,5,0
1000000,193986,4,0
1000000,192336,4,0
1000000,192697,8,0
1000000,193580,10,0
1000000,193106,3,0
1000000,192627,8,0
1000000,192934,1,0
1000000,193217,11,0
1000000,193450,4,0
1000000,193711,5,0
1000000,193405,3,0
1000000,192655,9,0
1000000,193013,2,0
1000000,193095,8,0
1000000,193131,13,0
1000000,193239,10,0
1000000,193205,8,0
1000000,193302,7,0
1000000,192975,9,0
1000000,192595,5,0
1000000,192631,5,0
1000000,193748,7,0
1000000,193584,6,0
1000000,193493,3,0
1000000,193460,4,0
1000000,192420,7,0
1000000,192951,5,0
1000000,192249,3,0
1000000,193005,4,0
1000000,193327,7,0
1000000,193219,0,0
1000000,193299,7,0
1000000,193139,4,0
1000000,193404,6,0
1000000,193091,7,0
1000000,193884,6,0
1000000,192902,5,0
1000000,193388,4,0
1000000,193099,3,0
1000000,191989,5,0
1000000,192821,9,0
1000000,193246,3,0
1000000,193236,5,0
1000000,193479,5,0
1000000,193836,12,1
1000000,193635,4,0
1000000,193185,4,0
1000000,192417,5,0
1000000,193230,7,0
1000000,192804,3,0
1000000,192366,5,0
1000000,193114,4,0
1000000,192963,8,0
1000000,192898,2,0
1000000,193650,9,0
1000000,192931,3,0
1000000,193655,3,0
1000000,193203,6,0
1000000,192771,5,0
1000000,192949,6,0
1000000,192951,3,0
1000000,191970,4,0
1000000,192795,5,0
1000000,193062,3,0
1000000,193287,5,0
1000000,192644,7,0
1000000,193053,5,0
1000000,193395,3,0
1000000,193714,5,0
1000000,192732,4,0
1000000,192634,6,0
1000000,192457,5,0
1000000,192435,4,0
1000000,193356,5,0
1000000,193055,8,0
1000000,192877,8,0
1000000,193006,7,0
1000000,192861,4,0
1000000,192383,12,0
1000000,193402,3,0
1000000,192910,3,0
1000000,193212,6,0
1000000,192877,6,1
1000000,192989,2,0
1000000,193871,5,0
1000000,192433,7,0
1000000,192695,10,0
1000000,192909,5,0
1000000,193093,7,0
1000000,192714,3,0
1000000,192957,9,0
1000000,193473,6,0
1000000,193528,9,0
1000000,192915,3,0
1000000,193310,5,0
1000000,193020,3,0
1000000,192507,4,0
1000000,193043,10,0
1000000,192950,6,0
1000000,193266,7,0
1000000,192917,2,0
1000000,193014,6,0
1000000,193104,6,0
1000000,193335,7,0
1000000,192467,3,0
1000000,192905,12,0
1000000,193709,7,1
1000000,193252,5,0
1000000,193735,7,1
1000000,193475,15,0
1000000,193352,8,0
1000000,193271,6,0
1000000,193350,6,0
1000000,192674,4,0
1000000,192723,2,0
1000000,193605,6,0
1000000,192826,5,0
